NodeID,SVM_Max,X,Y,Z
427,2406.9549710058745,70.0,2.0,-2.0
428,2374.3913739656014,72.0,2.0,-2.0
429,2328.412278553153,74.0,2.0,-2.0
430,2269.451683358345,76.0,2.0,-2.0
431,2197.9452106307563,78.0,2.0,-2.0
432,2114.327250255162,80.0,2.0,-2.0
433,2019.2867717918227,82.0,2.0,-2.0
434,1913.221143826131,84.0,2.0,-2.0
435,1796.5184409208002,86.0,2.0,-2.0
436,1669.8052627473671,88.0,2.0,-2.0
437,1533.8200277846536,90.0,2.0,-2.0
438,1389.801088745153,92.0,2.0,-2.0
439,1238.5679917585853,94.0,2.0,-2.0
440,1081.0658349275457,96.0,2.0,-2.0
441,919.0310868910612,98.0,2.0,-2.0
442,3408.0680434557958,2.0,4.0,-2.0
443,2921.4641021507528,4.0,4.0,-2.0
444,2778.755280856641,6.0,4.0,-2.0
445,2561.682728142451,8.0,4.0,-2.0
446,2340.3934800740035,10.0,4.0,-2.0
447,2101.123536513317,12.0,4.0,-2.0
448,1860.4325161599697,14.0,4.0,-2.0
449,1624.62865454671,16.0,4.0,-2.0
450,1388.298324505301,18.0,4.0,-2.0
451,1153.1878352316714,20.0,4.0,-2.0
452,920.6248957706474,22.0,4.0,-2.0
453,691.6862168316688,24.0,4.0,-2.0
454,467.4649110503273,26.0,4.0,-2.0
455,253.91522823039872,28.0,4.0,-2.0
456,395.16470517029296,30.0,4.0,-2.0
457,586.5538118423735,32.0,4.0,-2.0
458,770.6921868262679,34.0,4.0,-2.0
459,953.9394819388642,36.0,4.0,-2.0
460,1135.4857078676803,38.0,4.0,-2.0
461,1306.5875367109334,40.0,4.0,-2.0
462,1466.6895739002068,42.0,4.0,-2.0
463,1615.3185716367136,44.0,4.0,-2.0
464,1752.0565340853966,46.0,4.0,-2.0
465,1876.5153698666738,48.0,4.0,-2.0
466,1988.3169346228426,50.0,4.0,-2.0
467,2087.08318173386,52.0,4.0,-2.0
468,2172.438752631737,54.0,4.0,-2.0
469,2244.02600915354,56.0,4.0,-2.0
470,2301.52935588485,58.0,4.0,-2.0
471,2350.1013307370554,60.0,4.0,-2.0
472,2389.51951283964,62.0,4.0,-2.0
473,2414.222118369706,64.0,4.0,-2.0
474,2424.262279198586,66.0,4.0,-2.0
475,2419.8181416035954,68.0,4.0,-2.0
476,2401.173660998764,70.0,4.0,-2.0
477,2368.690517621607,72.0,4.0,-2.0
478,2322.777145362509,74.0,4.0,-2.0
479,2263.8624569012504,76.0,4.0,-2.0
480,2192.379350830976,78.0,4.0,-2.0
481,2108.761957780534,80.0,4.0,-2.0
482,2013.713588023589,82.0,4.0,-2.0
483,1907.60563950827,84.0,4.0,-2.0
484,1790.8388203799223,86.0,4.0,-2.0
485,1664.0340516070905,88.0,4.0,-2.0
486,1527.9166688735054,90.0,4.0,-2.0
487,1383.722066074495,92.0,4.0,-2.0
488,1232.1917323469195,94.0,4.0,-2.0
489,1074.2553509279048,96.0,4.0,-2.0
490,911.4790538146458,98.0,4.0,-2.0
491,3408.0676479561544,2.0,6.0,-2.0
492,2921.4639901206433,4.0,6.0,-2.0
493,2778.7553038280143,6.0,6.0,-2.0
494,2561.6827403560496,8.0,6.0,-2.0
495,2340.3934446702365,10.0,6.0,-2.0
496,2101.123482063285,12.0,6.0,-2.0
497,1860.4324014513902,14.0,6.0,-2.0
498,1624.6285231184568,16.0,6.0,-2.0
499,1388.298160966139,18.0,6.0,-2.0
500,1153.1876413476473,20.0,6.0,-2.0
501,920.6246598510053,22.0,6.0,-2.0
502,691.6859160364352,24.0,6.0,-2.0
503,467.4644900986138,26.0,6.0,-2.0
504,253.91504947409194,28.0,6.0,-2.0
505,395.16433880105404,30.0,6.0,-2.0
506,586.5535472171222,32.0,6.0,-2.0
507,770.6919990240808,34.0,6.0,-2.0
508,953.9393092516066,36.0,6.0,-2.0
509,1135.4855646054193,38.0,6.0,-2.0
510,1306.5873882422238,40.0,6.0,-2.0
511,1466.689465452937,42.0,6.0,-2.0
512,1615.318474855805,44.0,6.0,-2.0
513,1752.056443590698,46.0,6.0,-2.0
514,1876.515284254943,48.0,6.0,-2.0
515,1988.3168541627813,50.0,6.0,-2.0
516,2087.083110600055,52.0,6.0,-2.0
517,2172.438684985268,54.0,6.0,-2.0
518,2244.025952076589,56.0,6.0,-2.0
519,2301.5292994154556,58.0,6.0,-2.0
520,2350.101293709665,60.0,6.0,-2.0
521,2389.519480364392,62.0,6.0,-2.0
522,2414.2220925604192,64.0,6.0,-2.0
523,2424.262260468873,66.0,6.0,-2.0
524,2419.818130001508,68.0,6.0,-2.0
525,2401.1736556127357,70.0,6.0,-2.0
526,2368.690520032417,72.0,6.0,-2.0
527,2322.7771516972007,74.0,6.0,-2.0
528,2263.862471324022,76.0,6.0,-2.0
529,2192.3793673202285,78.0,6.0,-2.0
530,2108.7619814951377,80.0,6.0,-2.0
531,2013.713621887423,82.0,6.0,-2.0
532,1907.6056812077973,84.0,6.0,-2.0
533,1790.8388643869766,86.0,6.0,-2.0
534,1664.0341040431865,88.0,6.0,-2.0
535,1527.9167302926583,90.0,6.0,-2.0
536,1383.7221375742645,92.0,6.0,-2.0
537,1232.1918118193846,94.0,6.0,-2.0
538,1074.255449205187,96.0,6.0,-2.0
539,911.4792157893304,98.0,6.0,-2.0
540,3440.478681437883,2.0,8.0,-2.0
